city,hotel_name,url,rating,description,city_id,latitude,longitude
Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC8NqE0gbAAgHSAiRlZjZkZjJhZi1mMmNkLTRmZGItOWU3MS1iOTdhMzU3Yjc2YjXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=a46764b8e62e0646&srepoch=1782656374&from=searchresults,8.0,N/A,1,48.6353774,-1.5099801
Mont Saint Michel,Appart Standing - La Coque d'Or - Mont-St-Michel,https://www.booking.com/hotel/fr/la-coque-d-or.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC8NqE0gbAAgHSAiRlZjZkZjJhZi1mMmNkLTRmZGItOWU3MS1iOTdhMzU3Yjc2YjXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=a46764b8e62e0646&srepoch=1782656374&from=searchresults,9.6,N/A,1,48.6359541,-1.51146
Mont Saint Michel,"Chez Adèle, au pied de l'Abbaye",https://www.booking.com/hotel/fr/chez-adele-le-mont-saint-michel.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC8NqE0gbAAgHSAiRlZjZkZjJhZi1mMmNkLTRmZGItOWU3MS1iOTdhMzU3Yjc2YjXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=a46764b8e62e0646&srepoch=1782656374&from=searchresults,9.1,N/A,1,48.6359541,-1.51146
St Malo,Studio Les Armateurs 3 by Interhome,https://www.booking.com/hotel/fr/studio-les-armateurs-3-by-interhome.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKJ24TSBsACAdICJDUzZDFiM2YwLTBjMDQtNDk2Ny1iZDM0LTE0MDBhNWMxODM5YtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e71f64c404740290&srepoch=1782656399&from=searchresults,8.0,N/A,2,48.649518,-2.0260409
St Malo,Appartement lumineux et calme proche mer a pieds,https://www.booking.com/hotel/fr/appartement-lumineux-et-calme-saint-malo.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKJ24TSBsACAdICJDUzZDFiM2YwLTBjMDQtNDk2Ny1iZDM0LTE0MDBhNWMxODM5YtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e71f64c404740290&srepoch=1782656399&from=searchresults,9.7,N/A,2,48.649518,-2.0260409
St Malo,Résidence Brocéliande,https://www.booking.com/hotel/fr/residence-broceliande.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKJ24TSBsACAdICJDUzZDFiM2YwLTBjMDQtNDk2Ny1iZDM0LTE0MDBhNWMxODM5YtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e71f64c404740290&srepoch=1782656399&from=searchresults,9.4,N/A,2,48.649518,-2.0260409
Bayeux,Le petit Valhalla,https://www.booking.com/hotel/fr/le-petit-valhalla.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqPbhNIGwAIB0gIkMTE0MDFiNzAtNDZjZi00MWUyLWFhYmMtYWQxOTNmYzU3MjE22AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=01b164d1b1db0196&srepoch=1782656425&from=searchresults,8.5,N/A,3,49.2764624,-0.7024738
Bayeux,Maison cosy au centre historique de Bayeux,https://www.booking.com/hotel/fr/maison-cosy-au-centre-historique-de-bayeux.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqPbhNIGwAIB0gIkMTE0MDFiNzAtNDZjZi00MWUyLWFhYmMtYWQxOTNmYzU3MjE22AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=01b164d1b1db0196&srepoch=1782656425&from=searchresults,9.5,N/A,3,49.2764624,-0.7024738
Bayeux,Appartement Bayeux,https://www.booking.com/hotel/fr/appartement-bayeux.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqPbhNIGwAIB0gIkMTE0MDFiNzAtNDZjZi00MWUyLWFhYmMtYWQxOTNmYzU3MjE22AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=01b164d1b1db0196&srepoch=1782656425&from=searchresults,9.2,N/A,3,49.2764624,-0.7024738
Le Havre,Cocoon du Havre - Parking City Center,https://www.booking.com/hotel/fr/cocoon-du-havre-parking-city-center.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvNuE0gbAAgHSAiQ4NDE4YzBkYS01MTVlLTQyOWQtYmE4MS00MTg4NzFkNzg3ODHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=38a464dee41e0300&srepoch=1782656450&from=searchresults,8.0,N/A,4,49.4938975,0.1079732
