city_id,city,latitude,longitude,temp,rain_prob,rain_volume,weather_description
1,Mont Saint Michel,48.6359541,-1.51146,22.9,0.14,8.2,peu nuageux
2,St Malo,48.649518,-2.0260409,20.8,0.09,6.2,peu nuageux
3,Bayeux,49.2764624,-0.7024738,23.6,0.16,9.3,nuageux
4,Le Havre,49.4938975,0.1079732,21.8,0.16,9.7,peu nuageux
5,Rouen,49.4404591,1.0939658,28.0,0.04,1.3,nuageux
6,Paris,48.8588897,2.320041,31.8,0.07,2.8,peu nuageux
7,Amiens,49.8941708,2.2956951,26.8,0.13,5.3,ciel dégagé
8,Lille,50.6365654,3.0635282,27.2,0.2,9.8,ciel dégagé
9,Strasbourg,48.584614,7.7507127,29.9,0.01,0.2,nuageux
10,Chateau du Haut Koenigsbourg,48.249382,7.3439412,26.0,0.07,2.8,nuageux
11,Colmar,48.0777517,7.3579641,28.4,0.12,5.4,légère pluie
12,Eguisheim,48.0447968,7.3079618,28.1,0.14,6.8,légère pluie
13,Besancon,47.2380222,6.0243622,28.4,0.01,0.2,peu nuageux
14,Dijon,47.3215806,5.0414701,30.0,0.01,0.2,peu nuageux
15,Annecy,45.8992348,6.1288847,26.9,0.11,3.7,peu nuageux
16,Grenoble,45.1875602,5.7357819,28.3,0.18,6.5,ciel dégagé
17,Lyon,45.7578137,4.8320114,30.1,0.01,0.3,ciel dégagé
18,Gorges du Verdon,43.7496562,6.3285616,23.7,0.08,7.9,couvert
19,Bormes les Mimosas,43.1506968,6.3419285,26.5,0.01,0.5,nuageux
20,Cassis,43.2140359,5.5396318,26.7,0.01,0.0,nuageux
21,Marseille,43.2963986,5.3777888,27.7,0.01,0.1,nuageux
22,Aix en Provence,43.5298424,5.4474738,29.5,0.04,1.4,nuageux
23,Avignon,43.9492493,4.8059012,29.7,0.01,0.2,partiellement nuageux
24,Uzes,44.0121279,4.4196718,28.7,0.01,0.1,ciel dégagé
25,Nimes,43.8374249,4.3600687,29.0,0.0,0.0,peu nuageux
26,Aigues Mortes,43.5661521,4.19154,26.1,0.0,0.0,peu nuageux
27,Saintes Maries de la Mer,43.4515922,4.4277202,25.6,0.0,0.0,partiellement nuageux
28,Collioure,42.52505,3.0831554,27.4,0.0,0.0,ciel dégagé
29,Carcassonne,43.2130358,2.3491069,28.3,0.0,0.0,ciel dégagé
30,Ariege,42.9455368,1.4065544,23.7,0.07,3.0,ciel dégagé
31,Toulouse,43.6044638,1.4442433,29.0,0.02,0.6,peu nuageux
32,Montauban,44.0175835,1.3549991,29.9,0.02,0.5,peu nuageux
33,Biarritz,43.4832523,-1.5592776,23.1,0.1,4.8,ciel dégagé
34,Bayonne,43.4945144,-1.4736657,23.7,0.1,4.3,ciel dégagé
35,La Rochelle,46.159732,-1.1515951,24.0,0.15,4.5,ciel dégagé
