city,hotel_name,url,rating,description,city_id
Mont Saint Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCm7TozwbAAgHSAiQyYTA0OTM3NS0wY2QwLTQ0NTctODg5OS0yYTg4MDFhMDhiYzfYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e19b738db5b20385&srepoch=1777998369&from=searchresults,7.3,N/A,1
Mont Saint Michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCm7TozwbAAgHSAiQyYTA0OTM3NS0wY2QwLTQ0NTctODg5OS0yYTg4MDFhMDhiYzfYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e19b738db5b20385&srepoch=1777998369&from=searchresults,8.3,N/A,1
Mont Saint Michel,Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCm7TozwbAAgHSAiQyYTA0OTM3NS0wY2QwLTQ0NTctODg5OS0yYTg4MDFhMDhiYzfYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e19b738db5b20385&srepoch=1777998369&from=searchresults,8.2,N/A,1
St Malo,Le Nid Cosy - Studio proche de la plage,https://www.booking.com/hotel/fr/le-nid-studio-proche-de-la-plage.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0tOjPBsACAdICJDlkYjZmY2NkLTM0NjQtNDU4MS1iYWQyLWY5YjI4YWY4MTdlY9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=af40739a94a30459&srepoch=1777998395&from=searchresults,8.5,N/A,2
St Malo,L'Emeraude,https://www.booking.com/hotel/fr/l-39-emeraude-saint-malo.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0tOjPBsACAdICJDlkYjZmY2NkLTM0NjQtNDU4MS1iYWQyLWY5YjI4YWY4MTdlY9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=af40739a94a30459&srepoch=1777998395&from=searchresults,9.4,N/A,2
St Malo,Studio Le sillon malouin vue mer,https://www.booking.com/hotel/fr/studio-vue-mer-saint-malo.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK0tOjPBsACAdICJDlkYjZmY2NkLTM0NjQtNDU4MS1iYWQyLWY5YjI4YWY4MTdlY9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=af40739a94a30459&srepoch=1777998395&from=searchresults,9.8,N/A,2
Bayeux,Novotel Bayeux,https://www.booking.com/hotel/fr/novotel.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As606M8GwAIB0gIkMmQ3YWI2NDktZDAzMC00YzVjLTk1MGMtMTU3ZDYxYTE1MjI42AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e35073a75fb40390&srepoch=1777998420&from_sustainable_property_sr=1&from=searchresults,8.2,N/A,3
Bayeux,Le Petit Matin,https://www.booking.com/hotel/fr/le-petit-matin.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As606M8GwAIB0gIkMmQ3YWI2NDktZDAzMC00YzVjLTk1MGMtMTU3ZDYxYTE1MjI42AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e35073a75fb40390&srepoch=1777998420&from=searchresults,9.4,N/A,3
Bayeux,Château de Monceaux 5mn de Bayeux proche Mer,https://www.booking.com/hotel/fr/le-chateau-de-monceau.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4As606M8GwAIB0gIkMmQ3YWI2NDktZDAzMC00YzVjLTk1MGMtMTU3ZDYxYTE1MjI42AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e35073a75fb40390&srepoch=1777998420&from=searchresults,9.5,N/A,3
Le Havre,"Hôtel Richelieu, Le Havre Centre-Ville, Perret",https://www.booking.com/hotel/fr/le-richelieu-le-havre.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC57TozwbAAgHSAiRiODUwMjc3MS1iODVlLTRlM2MtYTU2Yi0yNTJhOWQ4MjA3ZWPYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=bc7373b3043504be&srepoch=1777998445&from=searchresults,8.2,N/A,4
