city_id,city,latitude,longitude,temp,rain_prob,weather_description,mean_hotel_rating,travel_score
20,Cassis,43.2140359,5.5396318,19.37,0.0,ciel dégagé,9.47,19.155
19,Bormes les Mimosas,43.1506968,6.3419285,18.22,0.0,ciel dégagé,9.5,18.61
22,Aix en Provence,43.5298424,5.4474738,18.47,0.0,ciel dégagé,8.53,17.765
23,Avignon,43.9492493,4.8059012,18.81,0.77,ciel dégagé,8.13,17.535
26,Aigues Mortes,43.5661521,4.19154,16.88,0.0,ciel dégagé,9.0,17.439999999999998
25,Nimes,43.8374249,4.3600687,17.74,0.43,ciel dégagé,8.2,17.07
17,Lyon,45.7578137,4.8320114,17.03,1.0,pluie modérée,8.43,16.945
32,Montauban,44.0175835,1.3549991,15.35,1.0,légère pluie,9.1,16.775
15,Annecy,45.8992348,6.1288847,16.51,1.0,légère pluie,8.5,16.755000000000003
9,Strasbourg,48.584614,7.7507127,16.56,1.0,légère pluie,8.47,16.75
18,Gorges du Verdon,43.7496562,6.3285616,15.05,1.0,légère pluie,9.2,16.725
35,La Rochelle,46.159732,-1.1515951,16.7,0.0,nuageux,8.03,16.38
21,Marseille,43.2961743,5.3699525,19.7,0.0,ciel dégagé,6.5,16.35
28,Collioure,42.52505,3.0831554,16.03,1.0,pluie modérée,8.3,16.315
27,Saintes Maries de la Mer,43.4515922,4.4277202,16.92,0.0,ciel dégagé,7.8,16.26
12,Avallon,47.4885365,3.9070658,14.69,1.0,légère pluie,8.8,16.145
34,Bayonne,43.4945144,-1.4736657,13.98,0.76,légère pluie,9.0,15.99
16,Grenoble,45.1875602,5.7357819,15.71,1.0,légère pluie,7.87,15.725000000000001
10,Chateau de Chambord,47.6160697,1.5170502,13.67,1.0,légère pluie,8.77,15.605
29,Carcassonne,43.2130358,2.3491069,13.33,1.0,légère pluie,8.87,15.535
13,Dijon,47.3215806,5.0414701,14.87,1.0,légère pluie,8.07,15.504999999999999
5,Rouen,49.4404591,1.0939658,13.73,0.0,nuageux,8.6,15.465
2,St Malo,48.649518,-2.0260409,11.82,1.0,légère pluie,9.23,15.14
24,Uzès,44.0121279,4.4196718,17.78,1.0,légère pluie,6.23,15.120000000000001
3,Bayeux,49.2764624,-0.7024738,12.17,0.37,légère pluie,9.03,15.114999999999998
8,Lille,50.6365654,3.0635282,13.91,0.0,couvert,8.13,15.085
7,Amiens,49.8941708,2.2956951,13.5,0.2,légère pluie,8.33,15.08
31,Toulouse,43.6044638,1.4442433,12.47,1.0,légère pluie,8.7,14.934999999999999
6,Paris,48.8588897,2.320041,13.22,1.0,pluie modérée,8.27,14.879999999999999
11,Orleans,47.9027336,1.9086066,13.31,0.71,légère pluie,8.2,14.855
4,Le Havre,49.4938975,0.1079732,11.67,0.0,nuageux,8.37,14.204999999999998
33,Biarritz,43.4711437,-1.5527266,13.05,0.79,légère pluie,7.63,14.155000000000001
1,Mont Saint Michel,48.6359541,-1.51146,10.58,1.0,pluie modérée,7.93,13.219999999999999
14,Besancon,47.2380222,6.0243622,15.29,0.8,couvert,5.45,13.094999999999999
30,Ariege,42.9455368,1.4065544,5.97,1.0,légère pluie,8.9,11.885
