city_id,city,mean_hotel_rating
1,Mont Saint Michel,7.93
2,St Malo,9.23
3,Bayeux,9.03
4,Le Havre,8.37
5,Rouen,8.6
6,Paris,8.27
7,Amiens,8.33
8,Lille,8.13
9,Strasbourg,8.47
10,Chateau de Chambord,8.77
11,Orleans,8.2
12,Avallon,8.8
13,Dijon,8.07
14,Besancon,5.45
15,Annecy,8.5
16,Grenoble,7.87
17,Lyon,8.43
18,Gorges du Verdon,9.2
19,Bormes les Mimosas,9.5
20,Cassis,9.47
21,Marseille,6.5
22,Aix en Provence,8.53
23,Avignon,8.13
24,Uzès,6.23
25,Nimes,8.2
26,Aigues Mortes,9.0
27,Saintes Maries de la Mer,7.8
28,Collioure,8.3
29,Carcassonne,8.87
30,Ariege,8.9
31,Toulouse,8.7
32,Montauban,9.1
33,Biarritz,7.63
34,Bayonne,9.0
35,La Rochelle,8.03
