name,publisher,positive,negative,positive_ratio
Lucy Dreaming,Tall Story Games Ltd,118,0,100
Touhou Kaeizuka ～ Phantasmagoria of Flower View.,"Mediascape Co., Ltd.",119,0,100
Elasto Mania Remastered,Elasto Mania Team,190,0,100
Freshly Frosted,The Quantum Astrophysicists Guild,157,0,100
Distant Memoraĵo,MangaGamer,114,0,100
秘封旅行 ~ Secret Sealing Travel,鸽屋谷,218,0,100
Cyberfrags '69,D.A.S. Games,104,0,100
FIND ALL 2: Middle Ages,Very Very LITTLE Studio,132,0,100
Dragon Spirits : Prologue,indienova,109,0,100
Yamafuda! 2nd station,KPC,109,0,100
